[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.005706 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 5.943691 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.005557 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.006210 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.005409 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 2.403427 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.005594 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 5.857147 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.005657 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.006056 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.005625 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 2.321668 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.006531 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 5.842072 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.006092 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.006375 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.005567 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 2.368550 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.007641 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 5.814074 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.006803 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.006292 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.005799 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 2.393862 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.006258 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 6.054709 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.005707 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.006468 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.005632 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 2.365258 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.005879 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 5.917769 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.005899 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.008156 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.005425 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 2.416339 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.006167 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 6.017169 seconds
