[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 0.279551 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.002632 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 0.831222 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.002470 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.002533 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.002098 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 0.273404 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.002235 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 0.826484 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.002391 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.002703 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.002142 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 0.263352 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.002214 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 0.795281 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.002232 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.002661 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.002681 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 0.261943 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.002228 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 0.811259 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.002377 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.003896 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.002685 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 0.331639 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.002988 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 0.787452 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.002214 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.002792 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.002256 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 0.274008 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.002182 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 0.796135 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.002503 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.002670 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.002274 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 0.247016 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.002419 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 0.775495 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.002368 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.002716 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.002276 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 0.289852 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.002482 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 0.803887 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.002442 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.002641 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.002297 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 0.257859 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.002402 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 0.805365 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.002280 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.002664 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.002210 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 0.268648 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.002718 seconds
