[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.014214 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 27.577114 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.013208 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.013692 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.011962 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 6.425552 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.013623 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 27.340219 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.012730 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.012896 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.011126 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 6.638022 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.014400 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 27.517912 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.015839 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.013816 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.011731 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 6.457563 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.013609 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 27.198919 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.015550 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.013439 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.013499 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 6.626841 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.014842 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 27.423824 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.013586 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.013735 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.011898 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 6.389159 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.015651 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 27.532362 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.017142 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.012581 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.011621 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 6.475287 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.012815 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 26.910782 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.016669 seconds
