[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.005664 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 1.359555 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.006200 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 6.459492 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.006529 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.006531 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.005405 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 1.385163 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.007194 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 6.627261 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.006277 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.006704 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.005609 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 1.411436 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.006397 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 6.557642 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.007413 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.006484 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.005525 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 1.363550 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.006613 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 6.399188 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.007593 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.006367 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.005811 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 1.409203 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | DEQUEUE] 0.006633 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | ENQUEUE] 6.335247 seconds
[DOUBLY_LINKED_LIST_AVG | WORST CASE | DEQUEUE] 0.006088 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | ENQUEUE] 0.006470 seconds
[DOUBLY_LINKED_LIST_AVG | BEST CASE | DEQUEUE] 0.005547 seconds
[DOUBLY_LINKED_LIST_AVG | AVERAGE CASE | ENQUEUE] 1.405812 seconds
