[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 33.868443 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.013562 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.015746 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.014057 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 14.928946 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.013579 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 31.890570 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.012984 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.014260 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.012465 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 15.732900 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.013014 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 33.517132 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.014589 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.013756 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.011697 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 15.674482 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.015658 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 34.056324 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.013507 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.015148 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.014174 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 15.643005 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.013598 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 33.964436 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.013674 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.014001 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.012342 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 15.705142 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.015160 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 33.359325 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.013284 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.014035 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.012167 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 15.493887 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.013606 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 34.023781 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.014246 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.016298 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.019284 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 15.364550 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.017163 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 33.172192 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.018312 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.014868 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.012875 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 15.660643 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.015036 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 33.678993 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.015505 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.014243 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.012190 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 15.562382 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.016412 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 33.469437 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.014480 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.014503 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.012666 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 15.843517 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.014799 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 33.709087 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.014891 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.014489 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.012547 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 15.984832 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.014151 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 33.409584 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.014698 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.014842 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.012421 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 15.535968 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.014500 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 33.102787 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.014008 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.015842 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.012331 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 15.311788 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.016141 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 33.285454 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.015749 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.015669 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.012456 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 15.357897 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.014576 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 33.231358 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.014151 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.015763 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.012767 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 15.594231 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.015467 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 33.534405 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.020332 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.015001 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.012523 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 15.500806 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.013932 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 33.545029 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.017210 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.014139 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.012085 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 15.575883 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.017053 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 33.658321 seconds
[DOUBLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.017092 seconds
[DOUBLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.013875 seconds
[DOUBLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.013565 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 15.643222 seconds
[DOUBLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.016096 seconds
[DOUBLY_LINKED_LIST | WORST CASE | ENQUEUE] 33.156891 seconds
