[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.016598 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.595713 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.015590 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.956790 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.015110 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 42.088615 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.016663 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.661161 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.015519 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.944116 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.014825 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 42.559582 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.016738 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.596086 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.015704 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 1.010597 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.018449 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 41.226021 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.016820 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.617598 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.015313 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.931405 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.016421 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 41.958839 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.017382 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.592640 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.014680 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.968207 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.017206 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 41.623146 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.018227 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.611803 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.015504 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.948439 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.016085 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 41.845032 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.017411 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.598496 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.015801 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.943841 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.015365 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 41.983112 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.016948 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.599721 seconds
[ARRAY_PRIORITY | BEST CASE | DEQUEUE] 0.015433 seconds
[ARRAY_PRIORITY | AVERAGE CASE | ENQUEUE] 0.961038 seconds
[ARRAY_PRIORITY | AVERAGE CASE | DEQUEUE] 0.016463 seconds
[ARRAY_PRIORITY | WORST CASE | ENQUEUE] 42.039612 seconds
[ARRAY_PRIORITY | WORST CASE | DEQUEUE] 0.017799 seconds
[ARRAY_PRIORITY | BEST CASE | ENQUEUE] 0.604356 seconds
