[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.012745 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 17.988160 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.015195 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 38.877243 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.014433 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.014859 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.013591 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 17.517721 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.016330 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 37.866589 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.016227 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.015452 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.013867 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 17.789664 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.016144 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 38.422787 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.015449 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.015198 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.013623 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 17.559163 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.016604 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 37.899509 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.015213 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.016787 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.013809 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 17.608175 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.017279 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 37.774723 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.014877 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.014806 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.013690 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 17.535006 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.014772 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 38.002064 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.016823 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.015715 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.014748 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 17.821734 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.020696 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 37.824448 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.015099 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.016765 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.013611 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 17.406491 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.026185 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 38.058624 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.015007 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.015011 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.014984 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 17.408018 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.016246 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 37.740761 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.018989 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.015366 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.014111 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 17.619587 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.014518 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 38.367401 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.015524 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.014935 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.013588 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | ENQUEUE] 17.643564 seconds
[SINGLY_LINKED_LIST | AVERAGE CASE | DEQUEUE] 0.017852 seconds
[SINGLY_LINKED_LIST | WORST CASE | ENQUEUE] 37.984726 seconds
[SINGLY_LINKED_LIST | WORST CASE | DEQUEUE] 0.015286 seconds
[SINGLY_LINKED_LIST | BEST CASE | ENQUEUE] 0.014901 seconds
[SINGLY_LINKED_LIST | BEST CASE | DEQUEUE] 0.013078 seconds
